Precinct_name,Contest_title,candidate_name,Party_Code,total_votes
232,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,183
233,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,270
233,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,135
234,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,219
234,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,82
235,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,88
235,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,207
236,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,200
236,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,374
237,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,238
237,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,264
238,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,211
238,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,257
239,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,257
239,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,318
240,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,108
240,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,99
241,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,110
241,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,166
242,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,315
242,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,471
243,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,174
243,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,209
244,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,287
244,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,139
245,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,110
245,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,37
246,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,169
246,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,187
247,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,98
247,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,85
248,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,143
248,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,169
249,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,251
249,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,279
250,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,306
250,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,475
251,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,248
251,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,294
252,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,186
252,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,227
253,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,349
253,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,271
254,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,252
254,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,219
256,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,229
256,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,238
258,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,188
258,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,151
259,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,214
